Ammonia,Glucose,Phosphates,Hydrogensulfide,Oxygen,Carbondioxide,Nitrogen,Sunlight,Temperature,Iron,Speed,ATP Production,ATP Consumption,Population,cytoplasm,hydrogenase,metabolosomes,thylakoids,chemosynthesizing proteins,rusticyanin,nitrogenase,toxisome,flagellum,perforator pilus,chemoreceptor,slime jet,selected
18.358545,3.6179314,19.546118,73.78137,0,43.346184,50.46037,0,9800,3.4961853,36.43162,2.4,2,8409,1,0,0,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,26.096016,4.8,4,3182,2,0,0,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.196154,6.4,4,3178,1,1,0,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.196154,2.4,4,2882,1,0,1,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,22.834013,4.4,4,3177,1,0,0,1,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,55.90802,0,38.463646,55.612667,0,9800,3.4961853,24.769098,4.4,4,38463,1,0,0,0,1,0,0,0,0,0,0,0,5
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,7.9,4,5807,1,0,0,0,0,1,0,0,0,0,0,0,4
24.883974,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,4.4,5.3765044,2607,1,0,0,0,0,0,1,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,4.4,7,50,1,0,0,0,0,0,0,1,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,49.788387,2.4,4,2583,1,0,0,0,0,0,0,0,1,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.371126,2.4,4,2880,1,0,0,0,0,0,0,0,0,1,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,2.4,4,3094,1,0,0,0,0,0,0,0,0,0,1,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,2.4,4,2882,1,0,0,0,0,0,0,0,0,0,0,1,4
16.884405,2.8943448,19.546118,55.90802,0,38.463646,55.612667,0,9800,3.4961853,24.769098,4.4,4,38463,1,0,0,0,1,0,0,0,0,0,0,0,5
16.057219,2.3154757,19.546118,33.728333,0,32.814014,61.37029,0,9800,3.4961853,23.39734,6.4,6,27792,1,0,0,0,2,0,0,0,0,0,0,0,5
41.526993,1.8523806,19.546118,17.206074,0,33.423527,61.396812,0,9800,3.4961853,22.235218,8.4,8,12597,1,0,0,0,3,0,0,0,0,0,0,0,5
52.15522,1.4819044,19.546118,11.708823,0,37.664433,58.113647,0,9800,3.4961853,21.48167,10.4,10,5088,1,0,0,0,4,0,0,0,0,0,0,0,5
52.15522,1.4819044,19.546118,11.708823,0,37.664433,58.113647,0,9800,3.4961853,20.794025,12.4,12,5088,1,0,0,0,5,0,0,0,0,0,0,0,5
